"","player_name","game_date","pitches","fastball_pct","breaking_pct","offspeed_pct","mean_woba"
"1","Abbott, Andrew",2024-04-06 19:00:00,95,0.473684210526316,0.357894736842105,0.168421052631579,0.410416666666667
"2","Abbott, Andrew",2024-04-11 19:00:00,103,0.553398058252427,0.29126213592233,0.155339805825243,0.179166666666667
"3","Abbott, Andrew",2024-04-16 19:00:00,104,0.557692307692308,0.288461538461538,0.153846153846154,0.358
"4","Abbott, Andrew",2024-04-22 19:00:00,79,0.607594936708861,0.189873417721519,0.20253164556962,0.278947368421053
"5","Abbott, Andrew",2024-04-27 19:00:00,85,0.517647058823529,0.294117647058824,0.188235294117647,0.361904761904762
"6","Abbott, Andrew",2024-05-03 19:00:00,84,0.523809523809524,0.392857142857143,0.0833333333333333,0.402272727272727
"7","Abbott, Andrew",2024-05-09 19:00:00,88,0.613636363636364,0.181818181818182,0.204545454545455,0.375
"8","Abbott, Andrew",2024-05-14 19:00:00,95,0.536842105263158,0.231578947368421,0.231578947368421,0.234615384615385
"9","Abbott, Andrew",2024-05-20 19:00:00,92,0.554347826086957,0.260869565217391,0.184782608695652,0.172
"10","Abbott, Andrew",2024-05-27 19:00:00,94,0.521276595744681,0.340425531914894,0.138297872340426,0.392592592592593
"11","Abbott, Andrew",2024-06-02 19:00:00,96,0.541666666666667,0.322916666666667,0.135416666666667,0.373076923076923
"12","Abbott, Andrew",2024-06-07 19:00:00,99,0.595959595959596,0.282828282828283,0.121212121212121,0.347916666666667
"13","Abbott, Andrew",2024-06-14 19:00:00,94,0.553191489361702,0.24468085106383,0.202127659574468,0.309090909090909
"14","Abbott, Andrew",2024-06-20 19:00:00,90,0.566666666666667,0.266666666666667,0.166666666666667,0.295454545454545
"15","Abbott, Andrew",2024-06-26 19:00:00,102,0.588235294117647,0.235294117647059,0.176470588235294,0.308695652173913
"16","Abbott, Andrew",2024-07-02 19:00:00,98,0.520408163265306,0.316326530612245,0.163265306122449,0.225
"17","Abbott, Andrew",2024-07-07 19:00:00,106,0.5,0.330188679245283,0.169811320754717,0.178
"18","Abbott, Andrew",2024-07-12 19:00:00,78,0.576923076923077,0.230769230769231,0.192307692307692,0.521052631578947
"19","Abbott, Andrew",2024-07-20 19:00:00,103,0.456310679611651,0.427184466019417,0.116504854368932,0.280357142857143
"20","Abbott, Andrew",2024-07-26 19:00:00,88,0.647727272727273,0.261363636363636,0.0909090909090909,0.59047619047619
"21","Abbott, Andrew",2024-08-01 19:00:00,90,0.5,0.366666666666667,0.133333333333333,0.402380952380952
"22","Abbott, Andrew",2024-08-06 19:00:00,104,0.490384615384615,0.298076923076923,0.211538461538462,0.469565217391304
"23","Abbott, Andrew",2024-08-11 19:00:00,93,0.473118279569892,0.344086021505376,0.182795698924731,0.280357142857143
"24","Abbott, Andrew",2024-08-17 19:00:00,83,0.44578313253012,0.385542168674699,0.168674698795181,0.326190476190476
"25","Bello, Brayan",2024-04-01 19:00:00,87,0.425287356321839,0.252873563218391,0.32183908045977,0.4
"26","Bello, Brayan",2024-04-08 19:00:00,89,0.460674157303371,0.280898876404494,0.258426966292135,0.28695652173913
"27","Bello, Brayan",2024-04-13 19:00:00,107,0.364485981308411,0.271028037383178,0.364485981308411,0.343478260869565
"28","Bello, Brayan",2024-04-18 19:00:00,96,0.322916666666667,0.260416666666667,0.416666666666667,0.161363636363636
"29","Bello, Brayan",2024-05-11 19:00:00,68,0.426470588235294,0.147058823529412,0.426470588235294,0.35
"30","Bello, Brayan",2024-05-16 19:00:00,100,0.35,0.37,0.28,0.533333333333333
"31","Bello, Brayan",2024-05-21 19:00:00,94,0.48936170212766,0.265957446808511,0.24468085106383,0.27
"32","Bello, Brayan",2024-05-27 19:00:00,90,0.388888888888889,0.266666666666667,0.344444444444444,0.31875
"33","Bello, Brayan",2024-06-01 19:00:00,95,0.4,0.357894736842105,0.242105263157895,0.332758620689655
"34","Bello, Brayan",2024-06-07 19:00:00,95,0.378947368421053,0.389473684210526,0.231578947368421,0.466
"35","Bello, Brayan",2024-06-13 19:00:00,92,0.326086956521739,0.434782608695652,0.239130434782609,0.443478260869565
"36","Bello, Brayan",2024-06-18 19:00:00,88,0.443181818181818,0.284090909090909,0.272727272727273,0.35
"37","Bello, Brayan",2024-06-24 19:00:00,52,0.538461538461538,0.230769230769231,0.230769230769231,0.65
"38","Bello, Brayan",2024-07-02 19:00:00,91,0.483516483516484,0.21978021978022,0.296703296703297,0.259259259259259
"39","Bello, Brayan",2024-07-08 19:00:00,105,0.552380952380952,0.238095238095238,0.20952380952381,0.421153846153846
"40","Bello, Brayan",2024-07-13 19:00:00,85,0.505882352941176,0.270588235294118,0.223529411764706,0.353846153846154
"41","Bello, Brayan",2024-07-19 19:00:00,82,0.365853658536585,0.378048780487805,0.25609756097561,0.291666666666667
"42","Bello, Brayan",2024-07-25 19:00:00,80,0.5625,0.2,0.2375,0.35
"43","Bello, Brayan",2024-07-30 19:00:00,98,0.408163265306122,0.336734693877551,0.255102040816327,0.351785714285714
"44","Bello, Brayan",2024-08-05 19:00:00,89,0.337078651685393,0.404494382022472,0.258426966292135,0.381818181818182
"45","Bello, Brayan",2024-08-11 19:00:00,95,0.421052631578947,0.336842105263158,0.242105263157895,0.246153846153846
"46","Bello, Brayan",2024-08-16 19:00:00,97,0.54639175257732,0.164948453608247,0.288659793814433,0.217391304347826
"47","Bello, Brayan",2024-08-22 19:00:00,88,0.522727272727273,0.272727272727273,0.204545454545455,0.363461538461538
